title,url,story,subject,time
Presidential poll: Cong says will play constructive role in deciding consensus oppn candidate,http://www.ptinews.com//news/13448986_Presidential-poll--Cong-says-will-play-constructive-role-in-deciding-consensus-oppn-candidate.html,"New Delhi, Jun 15 (PTI) The Congress Wednesday said it will play a constructive role in ensuring all opposition parties arrive at a consensus candidate for the presidential poll, and urged them to be proactive rather than reactive in making the decisionLeader of Opposition in Rajya Sabha Mallikarjun Kharge made the remarks after attending a meeting of opposition parties called by TMC chief Mamata Banerjee. 
The Congress MP said his party has no particular candidate in mind for the poll, and that it will sit together with other parties to arrive at a name acceptable to allThe opposition meeting was attended by Kharge, Jairam Ramesh and Randeep Surjewala on behalf of the CongressKharge said the consensus opposition candidate for the highest constitutional post in the country should be someone committed to uphold the Constitution and preserve the secular fabric of ""our diverse society and speak out boldly against the forces of prejudice, hatred, bigotry and polarisation""Kharge said as Congress President Sonia Gandhi is unwell and has been hospitalised, she has asked him to speak to leaders of various parties opposed to the ""divisive and destructive policies of the RSS/BJP"" to explore the possibility of a joint opposition candidate for the presidential electionHe said he was in touch with a number of partiesIn a statement issued after the meeting of the 17 opposition parties here, Kharge said, ""The Congress party will play a constructive role in ensuring that the parties assembled here this afternoon arrive at a consensus candidate in the next few days. Let us be proactive and not be reactive. 
""The Congress Party has no particular candidate in mind. It will sit together with all of you and arrive at a candidate acceptable to all,"" he said.
""Such a candidate we believe,"" he said, ""should be someone committed to upholding the Constitution of India, its values, principles and provisions in letter and spirit, someone committed to guaranteeing that all institutions of our democracy function without fear or favour.""
 He said the opposition should be someone committed to protecting the rights of all citizens and preserving the secular fabric of the country's diverse society. ""Someone committed to speaking out boldly against the forces of prejudice, hatred, bigotry and polarisation and someone committed to being a powerful force for furthering social justice and empowerment."" 
The TMC supremo had convened the meeting at Constitution Club here to deliberate and arrive at a consensus opposition candidate for the Presidential election. 
Leaders of 17 parties attended the meeting, but some parties like the TRS, AIMIM, AAP, SAD and BJD were not present.",PTI LND,Jun 15 18:37 HRS IST
Chennaiyin FC rope in ISL winner Mohammed Rafique,http://www.ptinews.com//news/13451041_Chennaiyin-FC-rope-in-ISL-winner-Mohammed-Rafique.html,"Chennai, Jun 16 (PTI) Chennaiyin FC have signed former Indian Super League (ISL) winner Mohammed Rafique on a two-year deal ahead of the upcoming season, the club said on Thursday.The 31-year-old mid-fielder has played in nine positions in his decade-long professional career with 153 matches under his belt. 
 He had famously scored the winning goal in stoppage time that handed Atletico de Kolkata the ISL title in the inaugural season. The Kolkata-born footballer has also represented the national side on 12 occasions, including two friendlies, and has one goal and an assist to his name. He won the 2018 Intercontinental Cup and a Tri-Nation series in 2017 with the Blue Tigers.I'm really happy to join Chennaiyin FC family. It is one of the best teams, two times champions. I will try my best to help the team,Rafique was quoted as saying in a media release. Besides ATK, he has also featured for three other clubs in the ISL, including Mumbai City FC, Kerala Blasters and the latest being SC East Bengal for whom he played in 31 matches in the last two seasons. Rafique has also played four I-League seasons as an East Bengal player taking part in the AFC Cup and Federation Cup.",National,Jun 16 14:28 HRS IST
Odisha logs 41 new COVID-19 cases,http://www.ptinews.com//news/13451017_Odisha-logs-41-new-COVID-19-cases.html," Bhubaneswar, Jun 16 (PTI) Odisha recorded 41 new coronavirus cases on Tuesday, 19 more than the previous day, taking the tally to 12,88,737, the health department said. The toll remained at 9,126 as there was no more death due to the pathogen in the last 24 hours. Fifty-three other coronavirus patients have died due to comorbidities so far, according to a bulletin.There are 177 active COVID-19 cases and 30 more people recuperated from the disease, taking the total number of recoveries to 12,79,381, the department said.The daily positivity rate was 0.41 per cent as the new infections were detected from 10,556 samples tested, it added.",Regional News East,Jun 16 14:27 HRS IST
ASEAN foreign ministers call on PM Modi,http://www.ptinews.com//news/13450990_ASEAN-foreign-ministers-call-on-PM-Modi.html,"(Eds: Updating with PM's tweet) New Delhi, Jun 16 (PTI) The foreign ministers of the ASEAN member states on Thursday called on Prime Minister Narendra Modi and discussed various aspects of cooperation between the two sides. The ASEAN foreign ministers are in New Delhi to attend a two-day conclave being hosted by India to mark the 30th anniversary of its relations with the 10-nation grouping. ""Had a good interaction with Foreign Ministers and Representatives of @ASEAN
countries as we celebrate 30 years of close India-ASEAN cooperation,"" Modi tweeted.The Association of Southeast Asian Nations (ASEAN) is considered one of the most influential groupings in the region, and India and several other countries including the US, China, Japan and Australia are its dialogue partners. ""A milestone in India-ASEAN friendship! India is hosting the Special ASEAN-India Foreign Ministers' Meeting (SAIFMM) to mark 30 years of our dialogue relations & 10 years of our Strategic Partnership. SAIFMM participants called on PM @narendramodi this morning,"" External Affairs Ministry spokesperson Arindam Bagchi tweeted. National Security Advisor Ajit Doval and External Affairs Minister S Jaishankar were present in the meeting between Modi and the ASEAN foreign ministers. The ASEAN-India dialogue relations started with the establishment of sectoral partnership in 1992 which graduated to full dialogue partnership in December 1995 and summit level partnership in 2002. The ties were elevated to a strategic partnership in 2012. The ASEAN is central to India's Act East Policy and its vision for the wider Indo-Pacific. The ASEAN comprises Indonesia, Thailand, Vietnam, Laos, Brunei, the Philippines, Singapore, Cambodia, Malaysia and Myanmar. In his opening remarks at the meeting, Jaishankar said India fully supports a strong, unified and prosperous ASEAN with a central role in the Indo-Pacific and both sides now should identify a new set of priorities. The external affairs minister also talked about the ""geopolitical headwinds"" triggered by the Ukraine crisis and its knock-on effects on food, energy security, prices of fertilisers and commodities as well as logistics and supply chains.",National,Jun 16 14:17 HRS IST
TMC delegation to meet EC over Tripura violence,http://www.ptinews.com//news/13450963_TMC-delegation-to-meet-EC-over-Tripura-violence.html," New Delhi, Jun 16 (PTI) A delegation of Trinamool Congress MPs will call on the Election Commission of India Thursday to submit a memorandum in connection with the recent incidents of violence in Tripura, the party said in a statement.The state is set to vote in bypolls to four assembly segments -- Agartala, Town Bardowali, Surma and Jubarajnagar -- on June 23. 
 The Trinamool Congress, which has no electoral presence in the state, is contesting all the four seats and its candidates have started campaigning. 
 The six-MP TMC delegation which will meet the ECI on Thursday comprises Saugata Roy, Kakoli Ghosh Dastidar, Jawhar Sircar, Pratima Mondal, Luizinho Faleiro and Nusrat Jahan Ruhi. 
""A six-MP delegation of AITC will visit the Election Commission of India today at 3.30 PM to submit a deputation in connection with the horrific violence in Tripura unleashed by BJP-sponsored goons,"" the party said in its statement.The delegation will brief the media after the meeting. 
The state has witnessed incidents of clashes and violence over the past few days.",National,Jun 16 14:2 HRS IST
ASEAN foreign ministers call on PM Modi,http://www.ptinews.com//news/13450779_ASEAN-foreign-ministers-call-on-PM-Modi.html," New Delhi, Jun 16 (PTI) The foreign ministers of the ASEAN nations on Thursday called on Prime Minister Narendra Modi and discussed the ongoing cooperation between the two sides.The ASEAN foreign ministers are in New Delhi to attend a two-day conclave being hosted by India to mark the 30th anniversary of its relations with the 10-nation grouping. The Association of Southeast Asian Nations (ASEAN) is considered one of the most influential groupings in the region, and India and several other countries including the US, China, Japan and Australia are its dialogue partners. ""A milestone in India-ASEAN friendship! India is hosting the Special ASEAN-India Foreign Ministers' Meeting (SAIFMM) to mark 30 years of our dialogue relations & 10 years of our Strategic Partnership. SAIFMM participants called on PM @narendramodi this morning,"" External Affairs Ministry spokesperson Arindam Bagchi tweeted. National Security Advisor Ajit Doval and External Affairs Minister S Jaishankar were present in the meeting between Modi and the ASEAN foreign ministers. The ASEAN-India dialogue relations started with the establishment of sectoral partnership in 1992 which graduated to full dialogue partnership in December 1995 and summit level partnership in 2002. The ties were elevated to a strategic partnership in 2012. The ASEAN is central to India's Act East Policy and its vision for the wider Indo-Pacific. The ASEAN comprises Indonesia, Thailand, Vietnam, Laos, Brunei, the Philippines, Singapore, Cambodia, Malaysia and Myanmar.",National,Jun 16 12:41 HRS IST
UP police constable killed after truck hits his bike,http://www.ptinews.com//news/13450764_UP-police-constable-killed-after-truck-hits-his-bike.html,"Mathura (UP), June 16 (PTI) A 34-year-old constable was killed when his motorcycle was hit by a truck in Sadar Bazar area here, police said on Thursday.Prashant Baghel, a native of Etawah, was posted in the surveillance cell, Superintendent of Police (city) Martand Prakash Singh said. ""He was returning to his room on Wednesday night when the accident happened near the Methodist Church on Sadar Road,"" the SP said. He died on the spot due to a head injury, Singh said, adding the truck driver fled after the accident. His body was sent for a post mortem examination, police said. Baghel joined the force in 2011, they said.",National,June 16 12:25 HRS IST
Government should reconsider Agnipath scheme: Hooda,http://www.ptinews.com//news/13449102_Government-should-reconsider-Agnipath-scheme--Hooda.html,"Chandigarh, Jun 15 (PTI) Senior Congress leader Bhupinder Singh Hooda on Wednesday lashed out at the Centre over its ""Agnipath"" scheme, saying it neither favours the the country nor the youth.He requested the government to reconsider and rationalise it by ensuring permanent jobs to soldiers who complete their four-year term in the armed forces. The Centre on Tuesday unveiled the ambitious ""Agnipath"" scheme for recruitment of the youth aged between 17 and a half and 21 in the Army, Navy and the Air Force, largely on a four-year short-term contractual basis. 
 The youth recruited under the scheme will be known as 'Agniveers'. After the completion of the four-year tenure, 25 per cent of the recruits from each specific batch will be offered regular service. ""It has far-reaching consequences and these have not been fully considered while preparing this scheme. In the long run, the policy would have a detrimental impact on our national security,"" Hooda claimed in a statement here. ""It seems the government is compromising with the security of the country with the intention of saving money on salary, pension, gratuity and halving the strength of the armed forces,"" the former Haryana chief minister alleged.Hooda claimed that a large number of youth have become overage due to the closure of Army recruitment for the past three years due to the Covid pandemic.""The hopes of the youth who had been waiting for the Army recruitment for the last many years and also those who had given written examination, physical test for Army recruitment and were waiting for the results have been dashed after the implementation of this new policy,"" he said. 
 The Congress leader demanded that the government should consider giving relaxation in age limit to the youth who have become overage in the past three years. 
 Counting the shortcomings of the scheme, Hooda said 75 per cent of the soldiers who will be recruited in the army as Agniveers will be retired after four years. 
 ""No care has been taken about what will happen to their future. This plan does not live up to the tradition, nature, morals and values of the Army,"" he said.""The period of training prescribed under the scheme is insufficient. Insufficient training can have a negative impact on the capability and effectiveness of the military. With just four years of service, the Army will start being treated as a tourist organisation,"" he claimed.
 Hooda, who is Leader of Opposition in the Haryana Assembly, said regimental honour is very strong part of the tradition of our armed forces and recruits would lose their attachment to the name, insignia and the emotional connect with the regiment. 
 ""The government is talking about giving a lumpsum amount of Rs 11.71 lakh as a service fund to the Agniveers who will be forced out from the Army after four years while the truth is that only half of this fund belongs to the government and half will be the money of the soldiers' earnings,"" he said.
 He asked the government to clearly answer if an Agniveer, who is unemployed after four years of service, will be able to spend his entire life with Rs 11.71 lakh. 
 ""They will get neither pension, military hospital nor canteen facility after four years of service,"" he said. 
 The army of the youth who have completed four years of service will be forced to search for jobs, he said.
 ""Such unemployed youth who know how to use weapons can easily be misled, which can prove to be a serious threat to society. I urge the government to reconsider this scheme and take a decision keeping in mind the larger interest of the country and society,"" he said.",National,Jun 15 19:3 HRS IST
New York state to protect abortion providers under new laws,http://www.ptinews.com//news/13444520_New-York-state-to-protect-abortion-providers-under-new-laws.html,"Albany (US), Jun 14 (AP) New York has expanded legal protections for people seeking and providing abortions in the state under legislation signed by Gov. Kathy Hochul on Monday. The Democratic governor pushed for the laws in anticipation of the US Supreme Court potentially overruling its 1973 Roe v. Wade's decision, which established a constitutional right to abortion. A ruling that could weaken or end abortion protections is expected as early as this week, and abortion providers are worried New York will see a surge in out-of-state residents. Today, we are taking action to protect our service providers from the retaliatory actions of anti-abortion states and ensure that New York will always be a safe harbor for those seeking reproductive healthcare,"" Hochul said.Out-of-state residents accounted for nearly 9% or 7,000 out of roughly 79,000 abortions performed in New York in 2019, according to the U.S. Centers for Disease Control and Prevention. That's up from 5% or roughly 4,700 out of 93,000 in 2015.One new law protects abortion providers from arrest, extradition and legal proceedings in other states by forbidding New York state and local courts and law enforcement agencies from cooperating in most scenarios. 
Under another law, people could sue for unlawful interference with their right to reproductive health care when other people or entities bring civil or criminal charges against them for seeking, accessing or providing abortions.And at a time when patients can receive virtual care, another new law will prevent insurers from taking action against New York health care providers who perform reproductive services that are illegal elsewhere.The state's health commissioner will also study the unmet health needs of pregnant women and the impact of unlicensed centers that offer some pregnancy services and persuade women against abortion.The laws protecting abortion providers and care take effect immediately.In 90 days, another new law will begin allowing abortion providers and patients to participate in an existing state program that lets people shield their address.The National Abortion Federation says death threats against abortion providers more than doubled from 92 in 2019 to 200 in 2020.Hochul also plans to give abortion providers 
35 million to expand services and boost security for abortion providers because of the expected Supreme Court ruling.Lawmakers enshrined Roe v. Wade into state law in 2019, and Hochul wants to enshrine it in the state constitution.The state constitution prohibits discrimination based onrace, color, creed or religion. 
Civil liberties groups and abortion providers have proposed an amendment prohibiting discrimination based on factors ranging frompregnancy and pregnancy outcomesto sex and gender identity.The Legislature must approve any amendment in two legislative session years before sending it to voters.Lawmakers would likely need to start the process in August to send it to voters in 2023. I can't say that'll happen, but I'm open minded, Hochul said Monday.New York Civil Liberties Union Executive Director Donna Lieberman saidright-wingcritics are stalling passage by arguing the proposed amendment would infringe religious liberties.",International,Jun 14 10:21 HRS IST
Sensex tumbles 375 points in early trade amid weak global markets,http://www.ptinews.com//news/13444474_Sensex-tumbles-375-points-in-early-trade-amid-weak-global-markets.html," Mumbai, Jun 14 (PTI) Equity benchmarks fell for the third day running on Tuesday, with the Sensex tumbling 375 points in early trade, tracking weak global markets as investors remained cautious ahead of the Federal Reserve meeting outcome. Unabated foreign fund outflows continued to weigh on the domestic equity markets. 
The 30-share BSE benchmark was trading 374.72 points lower at 52,471.98. The Nifty declined by 100.15 points to 15,674.25.From the Sensex pack, Asian Paints, Tech Mahindra, IndusInd Bank, HDFC Bank, Titan and HDFC were the major laggards in early trade.On the other hand, Bharti Airtel, Power Grid, NTPC, M&M and Bajaj Finserv were among the gainers.
Elsewhere in Asia, markets in Seoul, Tokyo, Hong Kong and Shanghai were trading lower in mid-session deals.Stock exchanges in the US ended sharply lower on Monday.The 30-share BSE Sensex tumbled 1,456.74 points or 2.68 per cent to settle at 52,846.70 on Monday. The Nifty tanked 427.40 points or 2.64 per cent to 15,774.40.""The Fed is scheduled to make its next policy announcement on Wednesday and investors will be highly focused on any clues for how aggressive the central bank intends to be in raising rates,"" said Mohit Nigam, Head - PMS, Hem Securities. 
Meanwhile, international oil benchmark Brent crude fell 0.02 per cent to USD 122.24 per barrel.Foreign institutional investors (FIIs) remained net sellers in the capital market, as they sold shares worth Rs 4,164.01 crore on Monday, as per exchange data.",Business,Jun 14 9:58 HRS IST
